,代碼,10日均量,60日高點,月營收YoY,投信連買天數
265,4545,514,35.5,-20.63,0
266,4549,50,97.7,-2.57,0
267,4550,365,42.5,-33.18,0
268,4551,154,119.5,-18.81,0
269,4552,216,32.35,-14.05,0
270,4554,77,32.85,7.49,0
271,4555,51,68.5,-28.26,0
272,4556,144,44.85,-10.95,0
273,4557,204,128.5,2.75,0
274,4558,154,27.4,62.69,0
275,4560,120,38.2,9.51,0
276,4561,1067,38.85,0.83,0
277,4562,565,19.55,15.37,0
278,4563,359,53.6,20.79,0
279,4564,653,24.45,-47.24,0
280,4566,214,54.6,-11.03,0
281,4568,14,57.5,-5.87,0
282,4569,15,97.4,8.29,0
283,4571,92,105.0,12.68,0
284,4572,555,177.5,8.1,0
285,4576,841,89.5,-14.53,0
286,4577,19,23.5,-60.8,0
287,4580,136,98.5,-18.47,0
288,4581,92,70.6,-12.33,0
289,4583,350,262.5,2.77,0
290,4584,51,75.0,23.76,0
291,4609,118,9.0,-52.16,0
292,4702,102,14.3,-78.42,0
293,4706,25,33.55,14.73,0
294,4707,612,14.25,-32.87,0
295,4711,35,17.7,-20.05,0
296,4714,8769,27.35,18.99,0
297,4716,4631,17.45,41.1,0
298,4720,832,17.9,7.34,0
299,1776,60,18.45,-1.38,0
300,1777,26,84.6,1.82,0
301,1781,110,18.0,31.44,0
302,1783,161,48.05,-33.2,0
303,1784,290,66.5,-5.52,0
304,1785,12031,50.1,19.83,0
305,1786,2838,116.0,16.85,0
306,1788,20,140.5,-8.51,0
307,1789,1950,28.7,34.71,0
308,1795,10034,342.0,-19.55,19
309,1796,133,71.2,-47.16,0
310,1799,110,69.9,256.44,0
311,1802,3978,18.8,-10.59,0
312,1805,783,20.8,-17.24,0
313,1806,1262,12.8,9.36,0
314,1808,3776,129.5,-45.49,0
315,1809,2778,35.7,-1.08,0
316,1810,8501,21.75,-2.6,0
317,1813,58,20.9,-26.44,0
318,1815,15245,21.5,-8.61,0
319,1817,274,38.2,-11.9,0
320,1903,503,60.9,-15.47,0
321,1904,1340,29.35,-5.15,0
322,1905,4131,24.0,-6.98,0
323,1906,169,15.85,3.18,0
324,1907,1756,31.45,-4.67,0
325,1909,1959,15.2,-5.11,0
326,2002,42642,26.05,-2.92,0
327,2006,2547,78.7,0.67,0
328,2007,3121,12.2,17.21,0
329,2008,63,23.3,4.09,0
330,2009,31482,51.8,-9.79,0
331,2010,3332,21.9,0.19,0
332,2012,130,24.4,-3.87,0
333,2013,1097,63.8,1.53,0
334,2014,17595,24.95,-19.35,0
335,2015,658,73.3,-13.39,0
336,2017,1643,15.55,6.99,0
337,2020,1892,39.55,-18.53,0
338,2022,2833,12.75,-21.58,0
339,2023,3906,16.65,-7.92,0
340,2024,16,23.5,2.49,0
341,2027,8264,37.5,-25.67,0
342,2028,2258,29.6,-31.35,0
343,2029,773,30.85,-0.16,0
344,2030,876,19.25,-13.94,0
345,2031,3004,66.8,-28.03,0
346,2032,1779,18.9,-6.03,0
347,2033,834,18.3,-17.35,0
348,2034,485,27.0,-24.68,0
349,2035,21,33.65,-19.24,0
350,2038,3549,21.7,-9.8,0
351,2049,2916,284.0,-12.23,1
352,2059,1366,1470.0,68.41,0
353,2061,178,22.35,9.8,0
354,2062,601,30.6,-3.01,1
355,2063,126,55.8,26.23,0
356,2064,48,16.6,-6.55,0
357,2065,117,66.6,-14.02,0
358,2066,2768,129.0,0.81,0
359,2067,42,13.25,-23.75,0
360,2069,330,16.95,-6.44,0
361,2070,100,41.35,-8.24,0
362,2073,28,30.75,-3.86,0
363,2101,11689,47.35,17.58,0
364,2102,440,19.1,-76.51,0
365,2103,2111,24.6,-0.6,5
366,2104,1285,19.0,-5.06,0
367,2105,4251,50.0,-6.88,0
368,2106,1412,34.05,-1.84,0
369,2107,636,25.45,-29.61,0
370,2108,326,36.8,6.41,0
371,2109,1652,17.95,-9.87,0
372,2114,38,111.0,-4.43,0
373,2115,176,31.0,31.96,0
374,2201,4888,72.2,5.71,0
375,2204,3770,147.5,29.08,10
376,2206,4532,78.2,-1.02,0
377,2207,281,677.0,-6.81,0
378,2208,6488,20.0,-39.92,0
379,2211,2129,143.0,-9.56,6
380,2221,33,36.15,-8.03,0
381,2227,53,185.5,-3.21,0
382,2228,392,104.5,2.06,0
383,2230,666,191.0,121.23,0
384,2231,391,131.0,-25.69,0
385,2233,175,144.0,0.42,0
386,2235,11,49.65,19.01,0
387,2236,1176,86.1,-24.0,0
388,2239,83,59.7,-21.7,0
389,2241,1873,41.0,2.44,0
390,2243,210,20.05,77.15,0
391,2247,73,319.0,3.99,0
392,2250,182,117.0,1.36,0
393,2301,19442,123.5,-14.97,1
394,2302,276,20.35,-9.89,0
395,2303,58409,53.3,2.7,2
396,2305,540,29.45,13.98,0
397,2308,9975,358.0,-7.61,0
398,1101,22499,33.75,16.36,0
399,1102,4500,42.5,-21.39,0
400,1103,468,18.7,2.31,0
401,1104,3077,33.45,1.49,1
402,1108,2066,16.7,3.09,0
403,1109,806,20.0,-35.42,0
404,1110,212,18.95,4.21,0
405,1201,329,19.1,3.93,0
406,1203,15,58.0,-3.59,0
407,1210,2015,60.5,-10.86,0
408,1213,55,7.34,-69.7,0
409,1215,472,114.0,-8.57,0
410,1216,7140,78.0,16.44,20
411,1217,888,12.2,-10.04,0
412,1218,942,22.75,3.21,1
413,1219,325,19.1,-25.81,0
414,1220,362,15.45,-1.37,0
415,1225,14,57.5,-13.75,0
416,1227,492,38.8,4.37,0
417,1229,924,69.2,-3.45,0
418,1231,200,98.8,-9.26,0
419,1232,54,147.0,-8.56,0
420,1233,12,35.3,16.48,0
421,1234,206,42.05,-7.3,0
422,1235,9,84.2,309.05,0
423,1236,22,24.4,-17.8,0
424,1240,40,53.2,-13.62,0
425,1256,26,267.0,-34.69,0
426,1259,8,76.6,6.46,0
427,1264,12,312.0,-1.94,0
428,1268,89,158.5,39.52,0
429,1301,7601,76.0,-12.22,0
430,1303,7836,64.0,-8.95,0
431,1304,2586,19.15,-13.71,0
432,1305,1684,21.65,-15.69,0
433,1307,856,30.4,8.66,1
434,1308,1009,23.1,-11.43,0
435,1309,555,17.6,-2.0,0
436,1310,953,15.05,-45.24,0
437,1312,2059,14.75,-43.1,0
438,1313,1352,15.55,12.04,0
439,1314,22968,9.89,17.04,0
440,1315,45,73.7,-27.92,0
441,1316,8593,26.2,47.83,0
442,1319,5469,131.5,5.2,0
443,1321,311,37.15,-10.28,0
444,1323,30,31.45,-16.09,0
445,1324,320,17.3,-17.51,0
446,1325,334,42.95,-40.86,0
447,1326,4598,60.3,2.18,1
448,1336,267,23.4,0.13,0
449,1337,356,8.0,61.06,0
450,1338,111,41.0,-33.6,0
451,1339,324,74.2,8.53,0
452,1340,93,11.3,-39.01,0
453,1341,45,65.0,-7.15,0
454,1342,574,141.5,-5.04,0
455,1402,4251,33.25,-0.2,0
456,1409,2635,16.95,26.5,0
457,1410,75,38.35,8.47,0
458,1413,107,9.49,22.2,0
459,1414,538,21.2,-1.42,0
460,1416,924,13.85,-36.78,0
461,1417,297,12.45,-54.52,0
462,1418,93,34.2,-15.35,0
463,1419,58,47.5,9.37,0
464,1423,79,31.35,-37.41,0
465,1432,310,24.75,10.57,0
466,1434,1184,25.1,-3.51,0
467,1435,4,57.7,35.64,0
468,1436,282,116.5,-87.14,0
469,1437,183,33.25,0.78,0
470,1438,375,54.8,-100.0,0
471,1439,68,28.25,-52.76,0
472,1440,1715,16.2,-26.52,0
473,1441,38,14.2,-21.7,0
474,1442,1766,49.25,164.33,0
475,1443,32,29.1,7.51,0
476,1444,1201,10.4,-3.02,0
477,1445,827,27.15,-48.95,0
478,1446,227,36.55,980.85,0
479,1447,1092,8.96,-14.24,0
480,1449,546,22.3,-1.61,0
481,1451,234,20.3,14.47,0
482,1452,195,17.25,26.53,0
483,1453,2902,24.8,101.75,0
484,1454,41,16.75,2.67,0
485,1455,3607,15.2,1.49,0
486,1456,256,23.65,15.12,0
487,1457,421,20.8,23.72,0
488,1459,85,9.98,64.28,0
489,1460,1274,8.5,-9.9,0
490,1463,160,18.9,-14.61,0
491,1464,348,13.85,8.71,0
492,1465,118,15.3,-25.06,0
493,1466,147,14.1,9.16,0
494,1467,5033,11.65,46.06,0
495,1468,55,15.1,4.4,0
496,1470,14,21.0,-25.83,0
497,1471,749,18.25,13.01,0
498,1472,117,85.6,113.74,0
499,1473,564,32.05,51.99,0
500,1474,225,13.15,25.91,0
501,1475,178,54.0,19.67,0
502,1476,713,579.0,17.92,0
503,1477,1491,407.0,11.96,0
504,1503,16949,344.5,-1.42,1
505,1504,32309,61.1,-16.74,2
506,1506,441,17.65,-14.86,0
507,1512,28,12.15,-17.28,0
508,1513,70188,212.0,12.1,5
509,1514,52223,181.5,19.64,0
510,1515,2147,51.2,261.3,0
511,1517,727,17.8,-28.59,0
512,1519,7073,950.0,48.44,1
513,1521,67,45.55,-21.18,0
514,1522,7178,59.5,-5.29,1
515,1524,6715,37.85,14.31,0
516,1525,54,76.3,-39.88,0
517,1526,157,36.65,-44.08,0
518,1527,607,43.45,-19.53,0
519,1528,1177,16.05,-17.79,0
520,1529,4374,36.55,6.74,0
521,1530,103,33.2,-12.66,0
522,1531,112,13.8,27.23,0
523,1532,4594,41.75,94.36,0
524,1533,158,53.7,-26.36,0
525,1535,798,83.0,26.43,0
526,1536,1868,57.3,-23.73,0
527,1537,117,140.5,2.52,0
528,1538,34,23.95,-55.19,0
529,1539,291,26.55,9.41,0
530,1540,896,20.3,40.06,0
531,1541,33,33.35,19.28,0
532,1558,75,104.0,0.62,0
533,1560,4019,276.5,-4.58,1
534,1565,108,205.0,-5.57,0
535,1568,555,34.55,-25.94,0
536,1569,549,25.7,-18.72,0
537,1570,2390,44.65,-44.7,0
538,1580,174,162.0,-15.84,0
539,1582,3008,93.4,12.05,0
540,1583,43,77.0,-28.25,0
541,1584,6201,36.35,-18.48,0
542,1586,173,32.9,14.09,0
543,1587,6365,51.0,-6.22,0
544,1589,890,63.6,-44.34,0
545,1590,734,1210.0,-4.83,0
546,1591,360,68.2,143.08,0
547,1593,20,52.5,-7.27,0
548,1595,19,37.2,-22.17,0
549,1597,691,79.9,2.63,0
550,1598,162,33.9,-20.01,0
551,1599,51,35.3,74.56,0
552,1603,10252,47.25,-12.27,0
553,1604,1489,30.3,8.92,0
554,1605,47323,40.35,-13.84,1
555,1608,40676,40.45,-9.51,0
556,1609,101526,58.9,-5.26,0
557,1611,2558,18.1,-32.2,0
558,1612,18650,40.6,26.03,0
559,1614,125,39.95,-19.22,0
560,1615,1134,62.9,-1.25,0
561,1616,4148,23.45,-1.61,0
562,1617,5059,24.8,-2.75,0
563,1618,22757,53.1,24.28,0
564,1626,122,16.65,-10.63,0
565,1701,899,24.45,2.43,0
566,1702,712,58.8,-0.55,0
567,1707,303,161.5,1.72,0
568,1708,511,32.9,-12.24,0
569,1709,450,21.1,-11.5,0
570,1710,1511,19.65,-18.35,0
571,1711,1399,21.8,-3.2,0
572,1712,616,42.2,3.9,0
573,1713,739,52.6,-14.09,0
574,1714,1099,9.18,-7.16,0
575,1717,4145,33.05,-1.82,0
576,1718,2026,8.03,17.58,0
577,1720,621,68.5,-3.35,1
578,1721,867,16.9,-19.76,0
579,1722,2148,68.7,-13.39,0
580,1723,600,124.5,-24.72,0
581,1725,1004,41.6,-2.01,0
582,1726,19,80.3,-15.98,0
583,1727,992,33.85,25.86,0
584,1730,34,57.0,-15.39,0
585,1731,802,27.7,-17.17,0
586,1732,159,34.05,-3.39,0
587,1733,1668,37.8,-19.0,0
588,1734,1227,37.95,-19.08,0
589,1735,28,18.2,-4.41,0
590,1736,2819,80.4,12.25,0
