,代碼,10日均量,60日高點,月營收YoY,投信連買天數
321,3349,10,28.6,51.95,0
322,3354,1043,31.55,49.2,0
323,3356,2053,56.9,13.51,0
324,3357,305,127.5,4.8,0
325,3360,1793,22.35,-58.26,0
326,3362,2083,285.0,-5.34,0
327,3363,9060,133.5,-15.74,0
328,3372,3032,24.4,22.04,0
329,3373,111,28.35,-7.88,0
330,3374,1281,135.5,-4.23,0
331,3376,4876,224.0,53.45,1
332,3379,75,15.85,0.35,0
333,3380,1681,39.25,-34.77,0
334,3388,124,79.6,0.13,0
335,3390,1058,38.5,-8.16,0
336,3402,4889,121.5,40.07,0
337,3406,1720,509.0,86.32,0
338,3413,1903,314.0,-3.2,0
339,3416,554,155.0,-1.32,0
340,3419,301,18.1,18.72,0
341,3426,29,46.3,38.8,0
342,3430,409,51.5,44.39,0
343,3432,350,20.8,11.77,0
344,3434,108,34.5,-1.74,0
345,3437,1401,38.65,-0.83,0
346,3438,452,93.5,-9.9,0
347,3441,617,39.45,1.3,0
348,3443,3034,1810.0,-0.03,0
349,3444,1673,135.0,13.91,0
350,3447,47,38.8,-60.72,0
351,3450,10121,79.8,10.99,0
352,3454,213,158.5,-11.65,0
353,3455,759,87.9,-11.58,0
354,3465,34,80.7,-29.67,0
355,3466,2521,41.0,-95.04,0
356,3479,690,129.0,-34.82,2
357,3481,97562,17.0,14.97,0
358,3483,1333,182.5,-3.58,0
359,3484,804,53.7,12.11,0
360,3489,881,27.15,-36.11,0
361,3490,5164,35.7,-39.57,0
362,3491,2165,180.5,2.31,0
363,3492,67,21.9,22.39,0
364,3494,122,7.05,3.59,0
365,3498,671,41.8,-86.39,0
366,3499,607,25.15,-36.06,0
367,3501,647,61.4,5.13,0
368,3504,460,74.0,-28.81,0
369,3508,175,28.2,-40.32,0
370,3511,78,28.3,-43.47,0
371,3512,1410,40.25,-49.8,0
372,3515,893,308.5,-2.02,0
373,3516,456,33.7,16.47,0
374,3518,232,36.25,-6.09,0
375,3520,313,21.45,-15.39,0
376,3521,466,24.6,144.2,0
377,3522,295,21.2,38.21,0
378,3523,258,20.1,27.02,0
379,3526,541,237.0,45.93,0
380,3527,123,109.5,14.17,0
381,3528,48,51.4,-36.52,0
382,3529,683,3245.0,45.14,2
383,3530,472,136.5,-27.25,0
384,3531,35,34.0,-15.42,0
385,3532,1266,174.5,-23.28,4
386,3533,1725,1630.0,4.12,1
387,3535,3380,25.4,-52.45,0
388,3537,221,41.85,-4.15,0
389,3540,840,56.8,-10.24,0
390,3541,137,38.9,-45.88,0
391,3543,254,29.3,-4.47,0
392,3545,2341,108.5,-18.2,0
393,3546,173,83.5,-7.56,0
394,3548,6389,288.0,38.76,2
395,3550,111,16.3,-20.27,0
396,3551,1480,129.0,6.83,0
397,3552,329,135.0,-18.81,0
398,3555,296,39.3,1255.49,0
399,4148,52,54.4,-54.38,0
400,4153,43,40.0,-7.41,0
401,4154,25,16.05,-90.33,0
402,4155,528,25.4,36.21,0
403,4157,2433,15.75,45.71,0
404,4160,62,43.85,2.92,0
405,4161,243,38.9,0.67,0
406,4162,650,110.5,-3.03,0
407,4163,63,128.0,-21.5,0
408,4164,933,61.9,-42.52,0
409,4167,2953,22.05,12.22,0
410,4168,758,28.05,-100.0,0
411,4171,153,39.5,-64.58,0
412,4173,393,23.05,8.13,0
413,4174,307,70.1,94.75,0
414,4175,39,89.4,-0.8,0
415,4183,201,24.65,100.93,0
416,4188,198,37.4,-51.12,0
417,4190,75,57.3,-31.01,0
418,4192,191,55.5,25.51,0
419,4198,211,59.5,27.93,0
420,4205,24,99.5,6.2,0
421,4207,641,19.6,10.61,0
422,4303,8557,61.1,28.49,0
423,4304,114,8.3,-45.41,0
424,4305,32,42.25,6.91,0
425,4306,6065,20.1,1.29,1
426,4401,595,28.2,22.72,0
427,4402,2293,30.4,-77.11,0
428,4406,13,10.2,-42.53,0
429,4413,22,22.9,29.19,0
430,4414,733,3.91,-8.33,0
431,4416,23,106.0,5.42,0
432,4417,93,39.7,-12.64,0
433,4419,49,49.35,50.71,0
434,4420,256,72.1,-3.89,0
435,4426,153,20.05,-33.05,0
436,4430,16,22.45,-24.49,0
437,4432,199,26.05,-60.62,0
438,4433,38,32.35,-10.24,0
439,4438,59,112.5,-15.41,0
440,4439,57,126.5,-7.86,0
441,4440,67,26.0,-4.84,0
442,4442,20,25.45,45.27,0
443,4502,31,36.9,28.86,0
444,4503,418,68.5,14.63,0
445,4506,386,107.0,32.25,0
446,4510,1440,18.05,-5.98,0
447,4513,4920,42.45,34.67,0
448,4523,131,64.4,-1.13,0
449,4526,7808,24.4,-7.73,0
450,4527,168,42.75,12.71,0
451,4528,58,31.75,-32.58,0
452,4529,430,19.0,169.35,0
453,4530,23,7.97,11.49,0
454,4532,5725,27.9,35.34,0
455,4533,34064,40.25,41.37,0
456,4534,371,14.15,-17.01,0
457,4535,65,35.1,-9.08,0
458,4536,213,197.0,-29.17,2
459,4538,97,23.45,-62.71,0
460,4540,330,38.75,-27.67,0
461,4541,933,34.3,15.55,0
462,4542,586,72.9,-12.21,0
463,4543,2167,60.7,-17.96,0
464,4545,519,35.5,-20.63,0
465,4549,44,97.7,-2.57,0
466,4550,383,42.5,-33.18,0
467,4551,154,117.5,-18.81,0
468,4552,229,32.35,-14.05,0
469,4554,76,32.85,7.49,0
470,4555,49,68.5,-28.26,0
471,4556,181,44.85,-10.95,0
472,4557,173,128.5,2.75,0
473,4558,159,27.75,62.69,0
474,4560,106,38.2,9.51,0
475,4561,1068,38.85,0.83,0
476,4562,550,19.55,15.37,0
477,4563,363,53.6,20.79,0
478,4564,658,24.45,-47.24,0
479,4566,238,54.6,-11.03,0
480,4568,15,57.5,-5.87,0
481,4569,15,97.4,8.29,0
482,4571,84,105.0,12.68,0
483,4572,551,177.5,8.1,0
484,4576,658,89.5,-14.53,0
485,4577,17,23.5,-60.8,0
486,4580,100,98.5,-18.47,0
487,4581,89,70.6,-12.33,0
488,4583,341,262.5,2.77,0
489,4584,46,75.0,23.76,0
490,4609,125,9.02,-52.16,0
491,4702,103,14.3,-78.42,0
492,4706,25,33.55,14.73,0
493,4707,612,14.25,-32.87,0
494,4711,35,17.7,-20.05,0
495,4714,7912,27.35,18.99,0
496,4716,4720,17.45,41.1,0
497,4720,858,17.9,7.34,0
498,5536,1024,230.0,-8.12,0
499,5538,40,35.1,-27.64,0
500,5543,234,50.0,13.05,0
501,5546,30,32.1,-17.95,0
502,5601,4,36.95,1.25,0
503,5603,277,24.05,-26.77,0
504,5604,88,50.0,2.91,0
505,5607,849,64.4,16.88,0
506,5608,2121,20.1,-6.49,0
507,5609,421,92.4,7.18,0
508,5701,79,6.98,17.29,0
509,5703,116,25.7,35.51,0
510,5704,64,53.0,-0.02,0
511,5706,1584,74.1,47.33,0
512,5864,2806,21.7,104.6,0
513,5871,4853,184.5,8.44,0
514,5876,5069,48.35,9.17,0
515,5878,5,48.55,11.89,0
516,5880,10319,26.3,-7.45,0
517,5902,31,34.5,-8.53,0
518,5903,80,191.5,6.61,0
519,5904,273,545.0,14.94,1
520,5905,600,12.45,15.67,0
521,5906,13,67.4,-12.62,0
522,5907,487,11.85,-12.52,0
523,6005,18868,23.2,45.46,1
524,6015,5454,13.3,113.48,0
525,6016,9461,17.9,-11.42,0
526,6020,49,20.0,79.71,0
527,6021,158,18.85,173.13,0
528,6023,247,81.8,6.91,0
529,6024,506,56.0,-0.29,1
530,6026,6222,17.3,-22.89,0
531,6101,271,48.9,159.5,0
532,6103,2,39.15,113.42,0
533,6104,1237,127.5,-2.9,0
534,6108,478,24.25,-10.48,0
535,6109,243,17.1,-24.07,0
536,6111,624,83.9,27.16,0
537,6112,1307,74.2,-21.99,0
538,6113,2239,45.7,-55.88,0
539,6114,69,32.9,-12.04,0
540,6115,256,54.1,4.12,0
541,6116,6771,12.3,-28.92,0
542,6117,14815,108.0,25.44,0
543,6118,228,26.9,-0.32,0
544,6120,20395,18.6,29.58,0
545,6121,1500,556.0,-13.0,5
546,6122,2182,71.0,-20.89,0
547,6123,75,70.9,-5.15,0
548,6124,389,40.8,-30.83,0
549,6125,13431,91.5,-48.08,0
550,6126,2573,41.05,-3.25,0
551,6127,900,31.0,18.11,0
552,6128,1166,42.7,-7.81,0
553,6129,603,29.85,-51.67,0
554,6130,36,33.75,-38.2,0
555,6133,483,15.6,-8.17,0
556,6134,200,23.0,9.22,0
557,6136,349,25.65,-16.37,0
558,6138,1204,237.5,12.78,0
559,6139,7578,366.0,142.69,0
560,6140,782,49.4,-37.34,0
561,6141,431,22.0,36.48,0
562,6142,371,10.95,-81.25,0
563,6143,2668,111.0,-19.42,1
564,6144,53,20.0,14.65,0
565,6146,648,286.0,-14.23,10
566,6147,3462,79.0,-13.64,0
567,6148,319,35.85,36.22,0
568,6150,445,100.0,5.82,0
569,6151,58,28.6,-6.52,0
570,6152,630,11.45,-37.42,0
571,6153,1527,22.55,-37.06,0
572,6154,42,17.4,3.7,0
573,6155,115,29.55,-11.18,0
574,6156,569,26.3,-7.38,0
575,6158,145,34.3,-4.05,0
576,6160,332,23.35,-49.79,0
577,6161,341,52.4,-17.8,0
578,6163,2849,24.85,-10.63,0
579,6164,1584,18.35,18.64,0
580,6165,1542,53.9,1.83,0
581,6166,1737,72.8,-31.36,0
582,6167,971,18.85,-54.08,0
583,6168,835,29.3,-9.46,0
584,6169,36,24.3,55.37,0
585,6170,698,59.1,37.52,0
586,6171,290,39.7,0.0,0
587,6173,583,47.75,-3.67,0
588,6174,34,24.75,-14.63,0
589,6175,168,36.65,7.75,0
590,6176,3738,188.5,16.86,6
591,6177,4329,47.45,-61.7,1
592,6179,3199,37.0,-69.61,0
593,6180,658,77.8,1.47,0
594,6182,2278,43.35,-22.16,6
595,6183,68,75.7,12.24,0
596,6184,38,54.4,0.3,0
597,1101,23379,33.75,16.36,1
598,1102,4845,42.5,-21.39,1
599,1103,479,18.7,2.31,0
600,1104,3163,33.45,1.49,0
601,1108,2846,17.05,3.09,0
602,1109,800,20.0,-35.42,0
603,1110,242,18.9,4.21,0
604,1201,327,19.1,3.93,0
605,1203,18,57.3,-3.59,0
606,1210,2197,60.5,-10.86,0
607,1213,53,7.34,-69.7,0
608,1215,460,114.0,-8.57,1
609,1216,7547,78.0,16.44,21
610,1217,1124,12.2,-10.04,0
611,1218,886,22.75,3.21,0
612,1219,350,19.1,-25.81,0
613,1220,342,15.45,-1.37,0
614,1225,17,57.5,-13.75,0
615,1227,496,38.8,4.37,0
616,1229,983,69.2,-3.45,0
617,1231,190,98.8,-9.26,0
618,1232,53,147.0,-8.56,0
619,1233,13,35.3,16.48,0
620,1234,202,42.05,-7.3,0
621,1235,11,84.2,309.05,0
622,1236,23,24.4,-17.8,0
623,1240,35,53.2,-13.62,0
624,1256,26,267.0,-34.69,0
625,1259,12,76.6,6.46,0
626,1264,12,312.0,-1.94,0
627,1268,88,158.5,39.52,0
628,1301,7968,76.0,-12.22,0
629,1303,7950,64.0,-8.95,0
630,1304,2652,19.15,-13.71,0
631,1305,1557,21.65,-15.69,0
632,1307,770,30.4,8.66,0
633,1308,978,23.1,-11.43,0
634,1309,543,17.6,-2.0,0
635,1310,965,15.05,-45.24,0
636,1312,2163,14.75,-43.1,0
637,1313,1335,15.55,12.04,0
638,1314,24384,9.93,17.04,0
639,1315,43,73.7,-27.92,0
640,1316,8284,26.2,47.83,0
641,1319,5235,131.5,5.2,1
642,1321,342,37.2,-10.28,0
643,1323,30,31.45,-16.09,0
644,1324,306,17.3,-17.51,0
645,1325,391,42.7,-40.86,0
646,1326,4814,60.1,2.18,2
647,1336,209,23.4,0.13,0
