,代碼,10日均量,60日高點,月營收YoY,投信連買天數
629,1301,8611,75.5,-12.22,1
630,1303,8405,63.6,-8.95,1
631,1304,2764,19.1,-13.71,0
632,1305,1643,21.4,-15.69,0
633,1307,770,30.4,8.66,0
634,1308,1052,23.1,-11.43,0
635,1309,640,17.6,-2.0,0
636,1310,972,14.7,-45.24,0
637,1312,2393,14.75,-43.1,0
638,1313,1479,15.55,12.04,0
639,1314,27079,9.93,17.04,0
640,1315,45,73.7,-27.92,0
641,1316,8338,26.2,47.83,0
642,1319,5403,131.5,5.2,2
643,1321,388,37.2,-10.28,0
644,1323,30,31.45,-16.09,0
645,1324,310,17.3,-17.51,0
646,1325,454,42.5,-40.86,0
647,1326,5596,59.7,2.18,3
648,1336,193,23.4,0.13,0
649,1337,418,8.0,61.06,0
650,1338,142,41.0,-33.6,0
651,1339,408,74.2,8.53,0
652,1340,91,11.3,-39.01,0
653,1341,46,65.0,-7.15,0
654,1342,540,141.5,-5.04,0
655,1402,5053,33.25,-0.2,0
656,1409,3340,16.95,26.5,0
657,1410,71,37.9,8.47,0
658,1413,116,9.49,22.2,0
659,1414,486,21.2,-1.42,0
660,1416,1040,13.85,-36.78,0
661,1417,317,12.25,-54.52,0
662,1418,82,34.2,-15.35,0
663,1419,74,47.4,9.37,0
664,1423,78,31.25,-37.41,0
665,1432,297,24.75,10.57,0
666,1434,1378,25.0,-3.51,0
667,1435,7,57.4,35.64,0
668,1436,364,117.0,-87.14,2
669,1437,207,33.25,0.78,0
670,1438,473,55.5,-100.0,0
671,1439,56,28.25,-52.76,0
672,1440,1734,16.2,-26.52,0
673,1441,46,14.2,-21.7,0
674,1442,2202,50.4,164.33,2
675,1443,180,33.3,7.51,0
676,1444,1458,10.4,-3.02,0
677,1445,815,27.15,-48.95,0
678,1446,217,36.2,980.85,0
679,1447,962,8.96,-14.24,0
680,1449,536,22.3,-1.61,0
681,1451,247,20.3,14.47,0
682,1452,181,17.25,26.53,0
683,1453,3226,24.8,101.75,0
684,1454,56,16.75,2.67,0
685,1455,3319,15.2,1.49,2
686,1456,316,23.65,15.12,0
687,1457,457,20.8,23.72,0
688,1459,92,9.98,64.28,0
689,1460,978,8.5,-9.9,0
690,1463,174,18.9,-14.61,0
691,1464,397,13.85,8.71,0
692,1465,116,15.3,-25.06,0
693,1466,138,14.1,9.16,0
694,1467,5169,11.65,46.06,0
695,1468,62,15.1,4.4,0
696,1470,15,21.0,-25.83,0
697,1471,843,18.25,13.01,0
698,1776,67,18.45,-1.38,0
699,1777,27,84.6,1.82,0
700,1781,119,18.0,31.44,0
701,1783,175,48.05,-33.2,0
702,1784,286,66.5,-5.52,0
703,1785,12407,50.1,19.83,2
704,1786,2406,116.0,16.85,0
705,1788,23,140.5,-8.51,0
706,1789,1876,28.7,34.71,0
707,1795,10160,342.0,-19.55,1
708,1796,84,71.2,-47.16,0
709,1799,109,69.9,256.44,0
710,1802,3709,18.8,-10.59,0
711,1805,1029,20.8,-17.24,0
712,1806,472,12.8,9.36,0
713,1808,4230,129.5,-45.49,0
